"created_at","id","text"
"Fri Feb 13 06:15:38 +0000 2026","tweet-2022192923962749285","@ashleybam520406 Mukhang may sipon or ubo yan 🥹kuyaaaa"
"Sun Feb 15 05:59:32 +0000 2026","tweet-2022913649170616563","Ayy pota, baka nilalagnat si @VivaArtists_ at may biglang post ng kay AA. Siya sagarin na natin yang lagnat mo. Yung kay Ashtine din, i-post mo na yung bagong digital cover niya."
"Thu Feb 19 04:54:03 +0000 2026","tweet-2024346721539784804","Parang lalo lumala lagnat ko?!?!???"
"Sun Feb 15 15:18:58 +0000 2026","tweet-2023054433287061928","@RuthDonayr21270 @PBBabscbn I think gaya ng sabi ni Ms. Bianca dito sa X dati, pag nagkakasakit sila, kahit ubo't sipon pa lang, pinapacheck na sila agad sa doctor. I think applicable din yan sa batch l/season na to. :)"
"Sat Feb 14 02:41:33 +0000 2026","tweet-2022501436748370070","shutang ina lakad yan kahapon 4hrs dinaig ko pa nagmarathon ..yung katawang lupa ko pagod na pagod masama na tuloy pakiramdam ko😫😫😫 https://t.co/TxPA3421SJ"
"Tue Feb 10 13:14:58 +0000 2026","tweet-2021211290258002319","Halatang pagod na pagod na si Eya nung 2nd set pa lang eh. Get well soon, Eya. #PVL2026"
"Tue Feb 10 09:01:14 +0000 2026","tweet-2021147434416734497","NAWAWALA LAGNAT KO BUMABA NA SA 38° HAHAHAHAHAHAHA TAPANG NA OMYG https://t.co/H1jPj1Juyo"
"Sat Feb 14 00:47:58 +0000 2026","tweet-2022472851773886980","Rasis dalam bentuk apapun itu tidak di perbolehkan"
"Wed Feb 11 08:31:44 +0000 2026","tweet-2021502400100696534","@iecanseeyou @dibeingrandom @hanstetch @tenggabie @Lumpia_22 @thefatkidins1de Oii get well soon 💪🏻 ako ubo st sipon nga eh 🤧"
"Fri Feb 13 09:00:11 +0000 2026","tweet-2022234336867835980","anong meron today, pagod na pagod akoo"
